name,lat,lng,dist_text,dura_text,dist_value,dura_value
渭南市,34.50571551675255,109.51658960525896,771公里,8.5小时,770994.0,30528.0
温州市,28.001085404472214,120.70647689035565,839.4公里,10.2小时,839429.0,36890.0
文昌市,19.549062083120717,110.80450870631745,1576.7公里,18.4小时,1576737.0,66117.0
文山壮族苗族自治州,23.40599429361173,104.2225689910943,1626公里,18小时,1625988.0,64851.0
乌海市,39.6620063648907,106.80039104999656,1509.1公里,15.8小时,1509092.0,56892.0
乌兰察布市,41.00074832767381,113.1394676744633,1348.3公里,14.9小时,1348264.0,53510.0
乌鲁木齐市,43.83076320429048,87.62443993536046,3264.6公里,36.8小时,3264565.0,132658.0
无锡市,31.498809732685714,120.318583288106,705.9公里,7.7小时,705923.0,27764.0
芜湖市,31.358536655799266,118.43943137653523,510.7公里,6小时,510673.0,21558.0
吴忠市,38.003712913453384,106.20537126663626,1290.6公里,14.1小时,1290609.0,50681.0
梧州市,23.48274528113516,111.28551681182014,1014.3公里,11.1小时,1014262.0,40111.0
五家渠市,44.17244451890096,87.54993663229611,3314公里,37.8小时,3314041.0,135963.0
五指山市,18.780994100706135,109.52354032070568,1691.5公里,19.4小时,1691548.0,70013.0
武威市,37.93437780815811,102.64455434036918,1632.9公里,18.7小时,1632862.0,67319.0
西安市,34.34726881662395,108.94646555063274,739.8公里,8.6小时,739811.0,30892.0
西宁市,36.62338469651661,101.78445017050856,1592.4公里,17.7小时,1592372.0,63547.0
西双版纳傣族自治州,22.013601254764165,100.80344682455635,2078公里,24.9小时,2077984.0,89587.0
锡林郭勒盟,43.93942266533856,116.05439144074572,1683.2公里,17.3小时,1683242.0,62259.0
仙桃市,30.33358775114635,113.44960935856369,101.1公里,1.5小时,101051.0,5387.0
咸宁市,29.84705594764649,114.32851909026844,92.7公里,1.6小时,92667.0,5581.0
咸阳市,34.335476293368586,108.71542245143304,764.4公里,8.9小时,764405.0,32157.0
香港特别行政,22.932238124366986,113.21182077897335,1010.5公里,11.5小时,1010548.0,41402.0
湘潭市,27.835702227135588,112.9504641807647,372.7公里,4.8小时,372658.0,17155.0
湘西土家族苗族自治州,28.317369104701186,109.74557664946684,639.8公里,7.7小时,639764.0,27668.0
襄阳市,32.014796804669224,112.12853720100244,311.4公里,3.6小时,311392.0,12999.0
孝感市,30.930689227018288,113.92251007733664,72.3公里,1.3小时,72279.0,4537.0
忻州市,38.42238338517772,112.74062416023848,1024.9公里,11.5小时,1024937.0,41539.0
新乡市,35.30963993033679,113.93360046733228,570.5公里,6.2小时,570529.0,22400.0
